e, e_dot, e_int, stamp, 
-1.4991253978090664, 0.03604941270566172, -0.30126705607003973, 1762987953263642844, 
-1.4995830498527773, 0.03452390589329187, -0.3005765779521739, 1762987953406261880, 
-1.497222427290969, 0.006343235060324304, -0.2997287249968542, 1762987953504297086, 
-1.497222427290969, 0.007868741872694152, -0.2996018602956477, 1762987953504297086, 
-1.4981446328037042, -0.0030740183757838047, -0.2995059658257095, 1762987953663332120, 
-1.4981446328037042, -0.0030740183757838047, -0.2995674461932252, 1762987953663332120, 
-1.4730357561557208, 0.08369625549327815, -0.2979550014508753, 1762987953807291299, 
-1.4267222520601268, 0.23807460247859144, -0.2931935094013035, 1762987953966604772, 
-1.3731754649216468, 0.33286763744691344, -0.2848622315424996, 1762987954106290102, 
-1.3731754649216468, 0.17848929046160014, -0.27820487879356137, 1762987954106290102, 
-1.318700426040061, 0.18158346293861927, -0.27100342372555697, 1762987954206314608, 
-1.250833527965054, 0.40780645652197595, -0.2628472945951174, 1762987954367177449, 
-1.250833527965054, 0.2262229935833567, -0.2546911654646779, 1762987954367177449, 
-1.191792129314064, 0.1968046621699663, -0.24623061234961144, 1762987954506319913, 
-1.1271704008223162, 0.4122104238091258, -0.23798640387342893, 1762987954655275259, 
-1.1271704008223162, 0.2154057616391595, -0.2297421953972464, 1762987954655275259, 
-1.0639324538639907, 0.21079315652775174, -0.2212182170339082, 1762987954814406247, 
-1.0030983513913339, 0.4135734981032746, -0.21294674707184272, 1762987954907583515, 
-0.9389823682972008, 0.41650028522263294, -0.20040087823683503, 1762987955054721875, 
-0.9389823682972008, 0.21371994364711008, -0.1920708725323824, 1762987955054721875, 
-0.871028365029652, 0.22651334422516287, -0.1832662067749369, 1762987955214533963, 
-0.8176606480757803, 0.40440573407140173, -0.17517809209350885, 1762987955358283008, 
-0.7568347731595622, 0.38064530623363274, -0.16303491908433296, 1762987955504413661, 
-0.7568347731595622, 0.20275291638739387, -0.1554220129596603, 1762987955504413661, 
-0.6891787445755556, 0.22552009528002182, -0.14685655272631198, 1762987955665328877, 
-0.6339331847124412, 0.4096719614904032, -0.13866311349650393, 1762987955756348937, 
-0.6339331847124412, 0.18415186621038138, -0.13046967426669587, 1762987955756348937, 
-0.5718142759955909, 0.20706302905616777, -0.12264537636136488, 1762987955905452654, 
-0.5039237454748908, 0.43336479745850126, -0.11397808041219486, 1762987956065326138, 
-0.4435318378939648, 0.42760812700542034, -0.1012846572909631, 1762987956205471270, 
-0.4435318378939648, 0.20130635860308685, -0.0927324947508547, 1762987956205471270, 
-0.371578488964023, 0.2398444964331392, -0.08390947765013017, 1762987956346532714, 
-0.30719841249444335, 0.45444475133173806, -0.0748205826234954, 1762987956506322998, 
-0.24951083604021207, 0.40689217641270314, -0.06188584916657856, 1762987956605324086, 
-0.24951083604021207, 0.19229192151410426, -0.0537480056383245, 1762987956605324086, 
-0.2011677593278689, 0.1611435890411439, -0.04667929542721953, 1762987956746841983, 
-0.14700376997507258, 0.34169022021713163, -0.039845491022876905, 1762987956906324591, 
-0.14700376997507258, 0.1805466311759877, -0.03301168661853427, 1762987956906324591, 
-0.11534901050854818, 0.10551586488841469, -0.027290436697246224, 1762987957055329169, 
-0.11534901050854818, 0.10551586488841469, -0.025180119399477927, 1762987957055329169, 
-0.07980084953819255, 0.11849386990118542, -0.020699924703685927, 1762987957215838912, 
-0.05716178303065411, 0.19395742492631354, -0.016820776205159656, 1762987957356329159, 
-0.05716178303065411, 0.07546355502512814, -0.012941627706633384, 1762987957356329159, 
-0.033614507385674175, 0.0784909188165998, -0.009862538229798826, 1762987957456462773, 
-0.024495534931779916, 0.10888749366291399, -0.007684788356540547, 1762987957616163638, 
-0.012858629578619052, 0.06918625935685041, -0.004731244793071543, 1762987957756342636, 
-0.012858629578619052, 0.038789684510536215, -0.0033475196059345345, 1762987957756342636, 
-0.005996494187438861, 0.022873784637267303, -0.0021142502229784645, 1762987957906771692, 
-0.0029170181049560373, 0.03313870491221005, -0.0014514761247342634, 1762987958066413069, 
-0.0029170181049560373, 0.010264920274942746, -0.0007887020264900624, 1762987958066413069, 
-0.0005595881686377702, 0.007858099787727557, -0.0004262416252366563, 1762987958206470382, 
0.004564086728324757, 0.02493701611093598, 7.249869698206327e-05, 1762987958306700378, 
0.0036126343181175358, 0.013907408289184353, 0.0005078088585203015, 1762987958466623362, 
0.0036126343181175358, -0.0031715080340240696, 0.0007859570243039885, 1762987958466623362, 
0.0036126343181175358, 0.0, 0.0007225268636235072, 1762987958466623362, 
0.006194743585309581, 0.008607030890640152, 0.0008946674814363101, 1762987958746769239, 
0.006194743585309581, 0.008607030890640152, 0.001066808099249113, 1762987958746769239, 
0.006194743585309581, 0.0, 0.0012389487170619163, 1762987958746769239, 
0.006194743585309581, 0.0, 0.0012389487170619163, 1762987958746769239, 
0.006194743585309581, 0.0, 0.0012389487170619163, 1762987958746769239, 
0.006194743585309581, 0.0, 0.0012389487170619163, 1762987958746769239, 
0.006194743585309581, 0.0, 0.0012389487170619163, 1762987958746769239, 
0.006194743585309581, 0.0, 0.0012389487170619163, 1762987958746769239, 
0.006194743585309581, 0.0, 0.0012389487170619163, 1762987958746769239, 
0.009537706615618813, 0.011143210101030773, 0.0014618129190825317, 1762987959615357975, 
-0.0025138706678895506, -0.02902871417733044, 0.0008812386355359228, 1762987959755517259, 
-0.0025138706678895506, -0.040171924278361214, 0.0003006643519893141, 1762987959755517259, 
-0.0025138706678895506, 0.0, -0.0005027741335779101, 1762987959755517259, 
-0.0025138706678895506, 0.0, -0.0005027741335779101, 1762987959755517259, 
0.004443050449256081, 0.023189737057152104, -3.897939243486803e-05, 1762987960156492590, 
0.004443050449256081, 0.023189737057152104, 0.00042481534870817403, 1762987960156492590, 
0.004443050449256081, 0.0, 0.0008886100898512162, 1762987960156492590, 
0.004443050449256081, 0.0, 0.0008886100898512162, 1762987960156492590, 
0.004443050449256081, 0.0, 0.0008886100898512162, 1762987960156492590, 
0.004443050449256081, 0.0, 0.0008886100898512162, 1762987960156492590, 
0.004443050449256081, 0.0, 0.0008886100898512162, 1762987960156492590, 
0.004443050449256081, 0.0, 0.0008886100898512162, 1762987960156492590, 
0.004443050449256081, 0.0, 0.0008886100898512162, 1762987960156492590, 
0.004443050449256081, 0.0, 0.0008886100898512162, 1762987960156492590, 
0.004443050449256081, 0.0, 0.0008886100898512162, 1762987960156492590, 
0.004443050449256081, 0.0, 0.0008886100898512162, 1762987960156492590, 
0.00892779508749375, 0.014949148794125566, 0.0011875930657337275, 1762987961406394323, 
0.00892779508749375, 0.014949148794125566, 0.0014865760416162388, 1762987961406394323, 
0.00892779508749375, 0.0, 0.00178555901749875, 1762987961406394323, 
0.00892779508749375, 0.0, 0.00178555901749875, 1762987961406394323, 
0.00892779508749375, 0.0, 0.00178555901749875, 1762987961406394323, 
0.00892779508749375, 0.0, 0.00178555901749875, 1762987961406394323, 
0.00892779508749375, 0.0, 0.00178555901749875, 1762987961406394323, 
0.00892779508749375, 0.0, 0.00178555901749875, 1762987961406394323, 
0.00892779508749375, 0.0, 0.00178555901749875, 1762987961406394323, 
0.00892779508749375, 0.0, 0.00178555901749875, 1762987961406394323, 
0.00892779508749375, 0.0, 0.00178555901749875, 1762987961406394323, 
0.00413491020817669, -0.01597628293105687, 0.0014660333588776128, 1762987962416358194, 
0.003009290034848622, -0.01972835017548376, 0.0010714663553679374, 1762987962556391787, 
0.003009290034848622, -0.003752067244426893, 0.0006768993518582623, 1762987962556391787, 
0.003009290034848622, 0.0, 0.0006018580069697243, 1762987962556391787, 
0.003009290034848622, 0.0, 0.0006018580069697243, 1762987962556391787, 
