odom_x, odom_y, odom_th, odom_vx, odom_yawrate, pf_x, pf_y, pf_th, stamp, 
1.3686472117138784, -1.3796550741932947, -0.8540958799416606, 0.024177681931791456, 0.010620237169467346, 1.393992046267857, -1.3082601610573794, -0.8540958799416606, 38503000000, 
1.3702569860590796, -1.381508238580259, -0.8541230045232586, 0.024017657967198708, 0.011219327927599852, 1.3982919981404336, -1.3146624903225903, -0.8541230045232586, 38605000000, 
1.3734686280665551, -1.3852055465097095, -0.8569586927104105, 0.024025709891499082, -0.023056870274097016, 1.3983257562652331, -1.3304672156362711, -0.8569586927104105, 38809000000, 
1.3787285984958575, -1.3913164465894816, -0.86285479951831, 0.023592423640341947, -0.024476895496866085, 1.4018880954870505, -1.3299390420290185, -0.86285479951831, 39149000000, 
1.3818074475816948, -1.3949396276054902, -0.8667140089003597, 0.02299841470276607, -0.02684351623723412, 1.4059590599917615, -1.322909160829983, -0.8667140089003597, 39353000000, 
1.3857374645044218, -1.399611754449383, -0.8700343373917726, 0.02192783308051928, 0.0032469945667869446, 1.4127175614118799, -1.3314971122697028, -0.8700343373917726, 39625000000, 
1.3876410256446474, -1.401870486010927, -0.868101964673146, 0.021720240644756635, 0.011114506620511248, 1.4149195738663654, -1.34180062648196, -0.868101964673146, 39761000000, 
1.3909608756588392, -1.4057971792112616, -0.8713617778914073, 0.02178152773671428, -0.020114111457885997, 1.4150980423481323, -1.3462818897975444, -0.8713617778914073, 39999000000, 
1.3942404940983837, -1.4096902251602488, -0.8745027446735983, 0.021024781330767142, -0.01427605692315398, 1.4210422458231866, -1.3523204344320159, -0.8745027446735983, 40237000000, 
1.3973682999361035, -1.4134248357077674, -0.874214022713796, 0.020145502181376285, -0.001026681622419377, 1.4246351402302049, -1.3540926087063465, -0.874214022713796, 40475000000, 
1.400402399390073, -1.4170429022747182, -0.8686364221102085, 0.01971453746244211, 0.012420453350217228, 1.427827229256774, -1.3601840020930596, -0.8686364221102085, 40713000000, 
1.4029884153456202, -1.4201068019635088, -0.8644186146153685, 0.019647801816251857, 0.01595930189605011, 1.4324986803988506, -1.3498836383452923, -0.8644186146153685, 40917000000, 
1.4054978025575282, -1.4230599569728408, -0.8630328574888233, 0.018901946486589043, 0.01685803939171322, 1.4290207627818248, -1.3608407420617081, -0.8630328574888233, 41121000000, 
1.4083713667397788, -1.4264202064791187, -0.8625412128173856, 0.018158910884958867, 0.011734174558070293, 1.4339447865442676, -1.3524871494400992, -0.8625412128173856, 41359000000, 
1.4111839728569253, -1.4296931216274238, -0.8638842383130028, 0.01845630385612461, -0.05582092027519531, 1.4356706185181416, -1.3736187368813038, -0.8638842383130028, 41597000000, 
1.413595694821283, -1.4325207853929856, -0.8653904135745507, 0.01796715662903718, -0.0029574929803286862, 1.4380055252114279, -1.368204683955637, -0.8653904135745507, 41801000000, 
1.415975065616314, -1.4353122076496905, -0.8697604613223275, 0.018160116490372965, -0.04825622594716046, 1.4406961373058136, -1.3774695445223, -0.8697604613223275, 42005000000, 
1.4179477790314898, -1.4376464498224097, -0.8695177697064749, 0.017043745480853734, 0.032841051852522604, 1.446705058207885, -1.377177030788254, -0.8695177697064749, 42175000000, 
1.4205237420499381, -1.4406896193764362, -0.8664639171023675, 0.016808419263345146, -0.012407685654047686, 1.4435762710334885, -1.3808944720621183, -0.8664639171023675, 42413000000, 
1.4223616763934348, -1.4428553239060578, -0.864732955654528, 0.016233262840969476, 0.027180574274781735, 1.4490441789471287, -1.380678299628552, -0.864732955654528, 42583000000, 
1.4251822157921938, -1.4461598284829746, -0.8606302370382477, 0.015753410860594314, 0.004685680037482256, 1.450428958538824, -1.3728760118303631, -0.8606302370382477, 42855000000, 
1.4265709251416188, -1.447783655314636, -0.8612512162500492, 0.015621598078361222, 0.0242223420920555, 1.456508309088799, -1.3919360850843658, -0.8612512162500492, 42991000000, 
1.4289888485925124, -1.4505970036397633, -0.8612714143533603, 0.015444492227990481, -0.006902363038615599, 1.456054693963907, -1.386815053131215, -0.8612714143533603, 43229000000, 
1.4310559279759851, -1.4529965478683986, -0.8651501761179465, 0.015832722361952625, -0.05000276983463867, 1.4591440901206418, -1.3925428111087748, -0.8651501761179465, 43433000000, 
1.4327780696284926, -1.4550166382937677, -0.8656342321030883, 0.01464261170782864, 0.010439654321769591, 1.463237669349263, -1.3787162097347978, -0.8656342321030883, 43603000000, 
1.434964415476343, -1.457592113982622, -0.869666547638965, 0.014125630868937407, 0.001535929404404027, 1.4633886582106945, -1.3969020180791798, -0.869666547638965, 43841000000, 
1.4368748882391835, -1.4598470958319627, -0.8680704781751303, 0.014541740078357918, -0.015613161188101077, 1.4634055358597846, -1.4019590954319299, -0.8680704781751303, 44045000000, 
1.4387204314311404, -1.46203405089927, -0.8782116358001648, 0.013952880923640915, -0.003148765424257753, 1.462625859388281, -1.3980787990497874, -0.8782116358001648, 44249000000, 
1.4412359733542994, -1.4650650362354634, -0.8831819982723766, 0.013756123102983277, 0.02741270457032045, 1.467154616640905, -1.4021907569042973, -0.8831819982723766, 44521000000, 
1.442691259659491, -1.4668396795083338, -0.8836232125728535, 0.01315881047669324, 0.009385128011051938, 1.467863434037459, -1.3950490602299053, -0.8836232125728535, 44691000000, 
1.444385834284596, -1.4688994348081337, -0.8800454363473441, 0.013240230244744348, 0.01081910104382857, 1.4690467145092763, -1.401879968423909, -0.8800454363473441, 44895000000, 
1.4466755741772168, -1.4716646228050676, -0.8740998957244384, 0.012962657899846285, 0.011418641809190054, 1.475506362920745, -1.411436296836867, -0.8740998957244384, 45167000000, 
1.447791327835965, -1.4730054215592547, -0.8718069679411126, 0.0127971412437166, 0.011829927122344566, 1.471966463732233, -1.421202676229785, -0.8718069679411126, 45303000000, 
1.4497971142845216, -1.475420019046531, -0.8803986625656264, 0.012881826652910475, 0.0051350051674106355, 1.4756569699495146, -1.4064294756593467, -0.8803986625656264, 45541000000, 
1.4517024708927515, -1.477722316449067, -0.8783587257425555, 0.012017183102156163, 0.0027357692820615597, 1.474464355416363, -1.416866773187674, -0.8783587257425555, 45779000000, 
1.4529822153818304, -1.4792680289226328, -0.8811651409070309, 0.011703457678918613, 0.0016565484598713427, 1.4757401942177626, -1.4101920905690626, -0.8811651409070309, 45949000000, 
